ref_id,category,foreground,background,width,height,diameter,product_page
138TA8284,topitems,BLACK,MIXED,80,20,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=138TA8284
137TA9540,topitems,MIXED,MIXED,87,108,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=137TA9540
137TA9810,topitems,GREY,BLACK,45,31,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=137TA9810
137TA9728,topitems,MIXED,WHITE,0,0,62,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=137TA9728
137TA9727,topitems,GREY,BLACK,40,87,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=137TA9727
107TA7999,topitems,BLACK,YELLOW,94,216,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=107TA7999
123TA5212,topitems,MIXED,WHITE,90,265,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=123TA5212
137TA9777,topitems,GREY,BLACK,45,31,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=137TA9777
137TA9736,topitems,WHITE,TRANSPARENT,31,15,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=137TA9736
107TA7681,topitems,MIXED,WHITE,44,90,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=107TA7681
137TA9651,topitems,MIXED,MIXED,87,108,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=137TA9651
138TA1037,topitems,GREY,BLACK,44,88,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=138TA1037
107TA8000,topitems,MIXED,WHITE,107,107,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=107TA8000
137TA9544,topitems,MIXED,WHITE,0,0,90,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=137TA9544
137TA9763,topitems,MIXED,WHITE,0,0,85,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=137TA9763
138TA1422,topitems,MIXED,BLACK,80,140,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=138TA1422
